
D:\CVE-2026-43499\vmlinux_extracted:	file format elf64-littleaarch64

Disassembly of section .kernel:

ffffffc0803e018c <do_select>:
ffffffc0803e018c: d503233f     	paciasp
ffffffc0803e0190: a9ba7bfd     	stp	x29, x30, [sp, #-0x60]!
ffffffc0803e0194: a9016ffc     	stp	x28, x27, [sp, #0x10]
ffffffc0803e0198: a90267fa     	stp	x26, x25, [sp, #0x20]
ffffffc0803e019c: a9035ff8     	stp	x24, x23, [sp, #0x30]
ffffffc0803e01a0: a90457f6     	stp	x22, x21, [sp, #0x40]
ffffffc0803e01a4: a9054ff4     	stp	x20, x19, [sp, #0x50]
ffffffc0803e01a8: 910003fd     	mov	x29, sp
ffffffc0803e01ac: d10d83ff     	sub	sp, sp, #0x360
ffffffc0803e01b0: f9000be2     	str	x2, [sp, #0x10]
ffffffc0803e01b4: d5384108     	mrs	x8, SP_EL0
ffffffc0803e01b8: aa0103f3     	mov	x19, x1
ffffffc0803e01bc: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0803e01c0: 2a0003f5     	mov	w21, w0
ffffffc0803e01c4: 910383e0     	add	x0, sp, #0xe0
ffffffc0803e01c8: 2a1f03e1     	mov	w1, wzr
ffffffc0803e01cc: 52804e02     	mov	w2, #0x270      // =624
ffffffc0803e01d0: f81f03a8     	stur	x8, [x29, #-0x10]
ffffffc0803e01d4: f9005fff     	str	xzr, [sp, #0xb8]
ffffffc0803e01d8: 9430c31a     	bl	0xffffffc081010e40 <memset>
ffffffc0803e01dc: f000e768     	adrp	x8, 0xffffffc0820cf000 <xhci_pci_hc_driver+0x180>
ffffffc0803e01e0: b94c6d08     	ldr	w8, [x8, #0xc6c]
ffffffc0803e01e4: 7100011f     	cmp	w8, #0x0
ffffffc0803e01e8: 1a9f07e8     	cset	w8, ne
ffffffc0803e01ec: 53114116     	lsl	w22, w8, #15
ffffffc0803e01f0: 97f6117d     	bl	0xffffffc0801647e4 <__rcu_read_lock>
ffffffc0803e01f4: d5384108     	mrs	x8, SP_EL0
ffffffc0803e01f8: f9001be8     	str	x8, [sp, #0x30]
ffffffc0803e01fc: 93407eaa     	sxtw	x10, w21
ffffffc0803e0200: f9443108     	ldr	x8, [x8, #0x860]
ffffffc0803e0204: d346fd49     	lsr	x9, x10, #6
ffffffc0803e0208: f240154a     	ands	x10, x10, #0x3f
ffffffc0803e020c: f9401108     	ldr	x8, [x8, #0x20]
ffffffc0803e0210: f9400d08     	ldr	x8, [x8, #0x18]
ffffffc0803e0214: 8b090d08     	add	x8, x8, x9, lsl #3
ffffffc0803e0218: 540002a0     	b.eq	0xffffffc0803e026c <do_select+0xe0>
ffffffc0803e021c: a940366c     	ldp	x12, x13, [x19]
ffffffc0803e0220: d37df12b     	lsl	x11, x9, #3
ffffffc0803e0224: f9400a6e     	ldr	x14, [x19, #0x10]
ffffffc0803e0228: 9280000f     	mov	x15, #-0x1      // =-1
ffffffc0803e022c: aa1303f4     	mov	x20, x19
ffffffc0803e0230: 9aca21ea     	lsl	x10, x15, x10
ffffffc0803e0234: f86b698c     	ldr	x12, [x12, x11]
ffffffc0803e0238: f86b69ad     	ldr	x13, [x13, x11]
ffffffc0803e023c: f86b69cb     	ldr	x11, [x14, x11]
ffffffc0803e0240: aa0c01ac     	orr	x12, x13, x12
ffffffc0803e0244: aa0b018b     	orr	x11, x12, x11
ffffffc0803e0248: ea2a016b     	bics	x11, x11, x10
ffffffc0803e024c: 54000160     	b.eq	0xffffffc0803e0278 <do_select+0xec>
ffffffc0803e0250: f940010a     	ldr	x10, [x8]
ffffffc0803e0254: f9401bf3     	ldr	x19, [sp, #0x30]
ffffffc0803e0258: ea2a017f     	bics	xzr, x11, x10
ffffffc0803e025c: 54000500     	b.eq	0xffffffc0803e02fc <do_select+0x170>
ffffffc0803e0260: 97f61167     	bl	0xffffffc0801647fc <__rcu_read_unlock>
ffffffc0803e0264: 12800117     	mov	w23, #-0x9      // =-9
ffffffc0803e0268: 14000153     	b	0xffffffc0803e07b4 <do_select+0x628>
ffffffc0803e026c: 2a1f03f7     	mov	w23, wzr
ffffffc0803e0270: aa1303f4     	mov	x20, x19
ffffffc0803e0274: 14000002     	b	0xffffffc0803e027c <do_select+0xf0>
ffffffc0803e0278: 2a1f03f7     	mov	w23, wzr
ffffffc0803e027c: f9401bf3     	ldr	x19, [sp, #0x30]
ffffffc0803e0280: b40004c9     	cbz	x9, 0xffffffc0803e0318 <do_select+0x18c>
ffffffc0803e0284: d37df12b     	lsl	x11, x9, #3
ffffffc0803e0288: a940b68e     	ldp	x14, x13, [x20, #0x8]
ffffffc0803e028c: f940028f     	ldr	x15, [x20]
ffffffc0803e0290: aa1f03ea     	mov	x10, xzr
ffffffc0803e0294: aa1f03ec     	mov	x12, xzr
ffffffc0803e0298: d100216b     	sub	x11, x11, #0x8
ffffffc0803e029c: d1002110     	sub	x16, x8, #0x8
ffffffc0803e02a0: 8b0b01ad     	add	x13, x13, x11
ffffffc0803e02a4: 8b0b01ce     	add	x14, x14, x11
ffffffc0803e02a8: 8b0b01ef     	add	x15, x15, x11
ffffffc0803e02ac: 14000005     	b	0xffffffc0803e02c0 <do_select+0x134>
ffffffc0803e02b0: d100058c     	sub	x12, x12, #0x1
ffffffc0803e02b4: 9100214a     	add	x10, x10, #0x8
ffffffc0803e02b8: ab0c013f     	cmn	x9, x12
ffffffc0803e02bc: 540002e0     	b.eq	0xffffffc0803e0318 <do_select+0x18c>
ffffffc0803e02c0: d37df18b     	lsl	x11, x12, #3
ffffffc0803e02c4: f86b69f1     	ldr	x17, [x15, x11]
ffffffc0803e02c8: f86b69c0     	ldr	x0, [x14, x11]
ffffffc0803e02cc: f86b69ab     	ldr	x11, [x13, x11]
ffffffc0803e02d0: aa110011     	orr	x17, x0, x17
ffffffc0803e02d4: aa0b022b     	orr	x11, x17, x11
ffffffc0803e02d8: b4fffecb     	cbz	x11, 0xffffffc0803e02b0 <do_select+0x124>
ffffffc0803e02dc: f86c7a11     	ldr	x17, [x16, x12, lsl #3]
ffffffc0803e02e0: ea31017f     	bics	xzr, x11, x17
ffffffc0803e02e4: 54fffbe1     	b.ne	0xffffffc0803e0260 <do_select+0xd4>
ffffffc0803e02e8: 35fffe57     	cbnz	w23, 0xffffffc0803e02b0 <do_select+0x124>
ffffffc0803e02ec: 8b0c0129     	add	x9, x9, x12
ffffffc0803e02f0: cb0a0108     	sub	x8, x8, x10
ffffffc0803e02f4: d1000529     	sub	x9, x9, #0x1
ffffffc0803e02f8: d1002108     	sub	x8, x8, #0x8
ffffffc0803e02fc: 531a6537     	lsl	w23, w9, #6
ffffffc0803e0300: d341fd6a     	lsr	x10, x11, #1
ffffffc0803e0304: f100097f     	cmp	x11, #0x2
ffffffc0803e0308: 110006f7     	add	w23, w23, #0x1
ffffffc0803e030c: aa0a03eb     	mov	x11, x10
ffffffc0803e0310: 54ffff82     	b.hs	0xffffffc0803e0300 <do_select+0x174>
ffffffc0803e0314: 17ffffdb     	b	0xffffffc0803e0280 <do_select+0xf4>
ffffffc0803e0318: 97f61139     	bl	0xffffffc0801647fc <__rcu_read_unlock>
ffffffc0803e031c: 37f824d7     	tbnz	w23, #0x1f, 0xffffffc0803e07b4 <do_select+0x628>
ffffffc0803e0320: f0ffffe8     	adrp	x8, 0xffffffc0803df000 <filldir64+0x1b4>
ffffffc0803e0324: 912ea108     	add	x8, x8, #0xba8
ffffffc0803e0328: a90ffff3     	stp	x19, xzr, [sp, #0xf8]
ffffffc0803e032c: f90073e8     	str	x8, [sp, #0xe0]
ffffffc0803e0330: 12800008     	mov	w8, #-0x1       // =-1
ffffffc0803e0334: b900ebe8     	str	w8, [sp, #0xe8]
ffffffc0803e0338: f9400be8     	ldr	x8, [sp, #0x10]
ffffffc0803e033c: f9007bff     	str	xzr, [sp, #0xf0]
ffffffc0803e0340: b9010bff     	str	wzr, [sp, #0x108]
ffffffc0803e0344: b4000588     	cbz	x8, 0xffffffc0803e03f4 <do_select+0x268>
ffffffc0803e0348: f9400108     	ldr	x8, [x8]
ffffffc0803e034c: b5000088     	cbnz	x8, 0xffffffc0803e035c <do_select+0x1d0>
ffffffc0803e0350: f9400be8     	ldr	x8, [sp, #0x10]
ffffffc0803e0354: f9400508     	ldr	x8, [x8, #0x8]
ffffffc0803e0358: b40024c8     	cbz	x8, 0xffffffc0803e07f0 <do_select+0x664>
ffffffc0803e035c: b9408668     	ldr	w8, [x19, #0x84]
ffffffc0803e0360: 7101911f     	cmp	w8, #0x64
ffffffc0803e0364: 540004eb     	b.lt	0xffffffc0803e0400 <do_select+0x274>
ffffffc0803e0368: 910303e0     	add	x0, sp, #0xc0
