
D:/CVE-2026-43499/vmlinux_extracted:	file format elf64-littleaarch64

Disassembly of section .kernel:

ffffffc081052634 <rt_mutex_cleanup_proxy_lock>:
ffffffc081052634: d503233f     	paciasp
ffffffc081052638: a9bd7bfd     	stp	x29, x30, [sp, #-0x30]!
ffffffc08105263c: a90157f6     	stp	x22, x21, [sp, #0x10]
ffffffc081052640: a9024ff4     	stp	x20, x19, [sp, #0x20]
ffffffc081052644: 910003fd     	mov	x29, sp
ffffffc081052648: aa0103f5     	mov	x21, x1
ffffffc08105264c: aa0003f3     	mov	x19, x0
ffffffc081052650: 940007e1     	bl	0xffffffc0810545d4 <_raw_spin_lock_irq>
ffffffc081052654: d5384114     	mrs	x20, SP_EL0
ffffffc081052658: aa1303e0     	mov	x0, x19
ffffffc08105265c: aa1403e1     	mov	x1, x20
ffffffc081052660: aa1503e2     	mov	x2, x21
ffffffc081052664: 97fffc6f     	bl	0xffffffc081051820 <try_to_take_rt_mutex>
ffffffc081052668: f9400e68     	ldr	x8, [x19, #0x18]
ffffffc08105266c: 927ff916     	and	x22, x8, #0xfffffffffffffffe
ffffffc081052670: eb1402df     	cmp	x22, x20
ffffffc081052674: 54000080     	b.eq	0xffffffc081052684 <rt_mutex_cleanup_proxy_lock+0x50>
ffffffc081052678: aa1303e0     	mov	x0, x19
ffffffc08105267c: aa1503e1     	mov	x1, x21
ffffffc081052680: 97fffe9c     	bl	0xffffffc0810520f0 <remove_waiter>
ffffffc081052684: f9400668     	ldr	x8, [x19, #0x8]
ffffffc081052688: b50000a8     	cbnz	x8, 0xffffffc08105269c <rt_mutex_cleanup_proxy_lock+0x68>
ffffffc08105268c: f9400e68     	ldr	x8, [x19, #0x18]
ffffffc081052690: 36000068     	tbz	w8, #0x0, 0xffffffc08105269c <rt_mutex_cleanup_proxy_lock+0x68>
ffffffc081052694: 927ff908     	and	x8, x8, #0xfffffffffffffffe
ffffffc081052698: f9000e68     	str	x8, [x19, #0x18]
ffffffc08105269c: eb1402df     	cmp	x22, x20
ffffffc0810526a0: aa1303e0     	mov	x0, x19
ffffffc0810526a4: 1a9f07f4     	cset	w20, ne
ffffffc0810526a8: 94000827     	bl	0xffffffc081054744 <_raw_spin_unlock_irq>
ffffffc0810526ac: 2a1403e0     	mov	w0, w20
ffffffc0810526b0: a9424ff4     	ldp	x20, x19, [sp, #0x20]
ffffffc0810526b4: a94157f6     	ldp	x22, x21, [sp, #0x10]
ffffffc0810526b8: a8c37bfd     	ldp	x29, x30, [sp], #0x30
ffffffc0810526bc: d50323bf     	autiasp
ffffffc0810526c0: d65f03c0     	ret
ffffffc0810526c4: 1703dde1     	b	0xffffffc07d149e48

ffffffc0810526c8 <rt_mutex_adjust_pi>:
ffffffc0810526c8: d503233f     	paciasp
ffffffc0810526cc: d10143ff     	sub	sp, sp, #0x50
ffffffc0810526d0: a9027bfd     	stp	x29, x30, [sp, #0x20]
ffffffc0810526d4: a90357f6     	stp	x22, x21, [sp, #0x30]
ffffffc0810526d8: a9044ff4     	stp	x20, x19, [sp, #0x40]
ffffffc0810526dc: 910083fd     	add	x29, sp, #0x20
ffffffc0810526e0: d5384108     	mrs	x8, SP_EL0
ffffffc0810526e4: 91243014     	add	x20, x0, #0x90c
ffffffc0810526e8: aa0003f3     	mov	x19, x0
ffffffc0810526ec: f9431108     	ldr	x8, [x8, #0x620]
ffffffc0810526f0: aa1403e0     	mov	x0, x20
ffffffc0810526f4: f81f83a8     	stur	x8, [x29, #-0x8]
ffffffc0810526f8: 94000797     	bl	0xffffffc081054554 <_raw_spin_lock_irqsave>
ffffffc0810526fc: f9449e75     	ldr	x21, [x19, #0x938]
ffffffc081052700: aa0003e1     	mov	x1, x0
